07-03 09:43:07 [restartedMain] | INFO  | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext 
07-03 09:43:07 [restartedMain] | INFO  | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext   - Root WebApplicationContext: initialization completed in 1381 ms 
07-03 09:43:07 [restartedMain] | INFO  | com.fox.config.DataSourceOneConfig   - mapper file location: classpath:dao/mapperOne/*.xml 
07-03 09:43:07 [restartedMain] | INFO  | com.fox.config.DataSourceOneConfig   - mybatis config file location: classpath:dao/config/mybatis-config.xml 
07-03 09:43:07 [restartedMain] | INFO  | com.fox.config.DataSourceTwoConfig   - mapper file location: classpath:dao/mapperTwo/*.xml 
07-03 09:43:07 [restartedMain] | INFO  | com.fox.config.DataSourceTwoConfig   - mybatis config file location: classpath:dao/config/mybatis-config.xml 
07-03 09:43:07 [restartedMain] | INFO  | com.netflix.config.sources.URLConfigurationSource   - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. 
07-03 09:43:07 [restartedMain] | INFO  | com.netflix.config.sources.URLConfigurationSource   - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. 
07-03 09:43:07 [restartedMain] | INFO  | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor   - Initializing ExecutorService 'applicationTaskExecutor' 
07-03 09:43:08 [restartedMain] | INFO  | org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler   - Initializing ExecutorService 'Nacos-Watch-Task-Scheduler' 
07-03 09:43:08 [restartedMain] | INFO  | org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer   - LiveReload server is running on port 35729 
07-03 09:43:08 [restartedMain] | INFO  | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver   - Exposing 2 endpoint(s) beneath base path '/actuator' 
07-03 09:43:08 [restartedMain] | INFO  | org.apache.coyote.http11.Http11NioProtocol   - Starting ProtocolHandler ["http-nio-9090"] 
07-03 09:43:08 [restartedMain] | INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer   - Tomcat started on port(s): 9090 (http) with context path '' 
07-03 09:43:08 [restartedMain] | INFO  | com.alibaba.cloud.nacos.registry.NacosServiceRegistry   - nacos registry, DEFAULT_GROUP microservice-activiti 10.132.53.236:9090 register finished 
07-03 09:43:08 [restartedMain] | INFO  | com.fox.ActivitiApplication_9090   - Started ActivitiApplication_9090 in 5.953 seconds (JVM running for 6.694) 
07-03 09:43:10 [RMI TCP Connection(3)-127.0.0.1] | INFO  | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]   - Initializing Spring DispatcherServlet 'dispatcherServlet' 
07-03 09:43:10 [RMI TCP Connection(3)-127.0.0.1] | INFO  | org.springframework.web.servlet.DispatcherServlet   - Initializing Servlet 'dispatcherServlet' 
07-03 09:43:10 [RMI TCP Connection(3)-127.0.0.1] | INFO  | org.springframework.web.servlet.DispatcherServlet   - Completed initialization in 7 ms 
07-03 09:43:11 [http-nio-9090-exec-1] | INFO  | com.alibaba.druid.pool.DruidDataSource   - {dataSource-1} inited 
